ส่วนงาน,ฝ่าย,เลขคำร้อง,เรื่องร้องทุกข์,ประเภทคำร้อง,เขต,ชุมชน,วันที่รับเรื่อง,วันที่เสร็จ,สถานะ,รูปภาพ,ความสำคัญ,รูปภาพหลังแก้ไข,ปิดงานโดย,LINE Token
ส่วนงานจำลอง 03,ฝ่ายจำลอง 03,MOCK-0111,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0111,ประเภทจำลอง 07 - ป้าย,เขตจำลอง 03,ชุมชนจำลอง 11,21/04/2569,05/06/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 06,MOCK-0112,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0112,ประเภทจำลอง 08 - อื่นๆ,เขตจำลอง 04,ชุมชนจำลอง 04,22/04/2569,13/06/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 01,MOCK-0113,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0113,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 05,ชุมชนจำลอง 09,23/04/2569,30/04/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 04,MOCK-0114,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0114,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 06,ชุมชนจำลอง 02,24/04/2569,08/05/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 07,MOCK-0115,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0115,ประเภทจำลอง 03 - ถนน,เขตจำลอง 01,ชุมชนจำลอง 07,25/04/2569,16/05/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 02,MOCK-0116,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0116,ประเภทจำลอง 04 - พื้นที่สาธารณะ,เขตจำลอง 02,ชุมชนจำลอง 12,26/04/2569,24/05/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 05,MOCK-0117,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0117,ประเภทจำลอง 05 - อาคาร,เขตจำลอง 03,ชุมชนจำลอง 05,27/04/2569,01/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 08,MOCK-0118,รายการจำลองข้อมูลทั่วไป ลำดับ 0118,ประเภทจำลอง 06 - ความสะอาด,เขตจำลอง 04,ชุมชนจำลอง 10,28/04/2569,09/06/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 03,MOCK-0119,รายการจำลองข้อมูลทั่วไป ลำดับ 0119,ประเภทจำลอง 07 - ป้าย,เขตจำลอง 05,ชุมชนจำลอง 03,29/04/2569,17/06/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 06,MOCK-0120,รายการจำลองข้อมูลทั่วไป ลำดับ 0120,ประเภทจำลอง 08 - อื่นๆ,เขตจำลอง 06,ชุมชนจำลอง 08,30/04/2569,04/05/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 01,MOCK-0121,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0121,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 01,ชุมชนจำลอง 01,01/05/2569,12/05/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 04,MOCK-0122,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0122,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 02,ชุมชนจำลอง 06,02/05/2569,20/05/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 07,MOCK-0123,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0123,ประเภทจำลอง 03 - ถนน,เขตจำลอง 03,ชุมชนจำลอง 11,03/05/2569,28/05/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 02,MOCK-0124,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0124,ประเภทจำลอง 04 - พื้นที่สาธารณะ,เขตจำลอง 04,ชุมชนจำลอง 04,04/05/2569,05/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 05,MOCK-0125,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0125,ประเภทจำลอง 05 - อาคาร,เขตจำลอง 05,ชุมชนจำลอง 09,05/05/2569,13/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 08,MOCK-0126,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0126,ประเภทจำลอง 06 - ความสะอาด,เขตจำลอง 06,ชุมชนจำลอง 02,06/05/2569,21/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 03,MOCK-0127,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0127,ประเภทจำลอง 07 - ป้าย,เขตจำลอง 01,ชุมชนจำลอง 07,07/05/2569,29/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 06,MOCK-0128,รายการจำลองข้อมูลทั่วไป ลำดับ 0128,ประเภทจำลอง 08 - อื่นๆ,เขตจำลอง 02,ชุมชนจำลอง 12,08/05/2569,16/05/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 01,MOCK-0129,รายการจำลองข้อมูลทั่วไป ลำดับ 0129,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 03,ชุมชนจำลอง 05,09/05/2569,24/05/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 04,MOCK-0130,รายการจำลองข้อมูลทั่วไป ลำดับ 0130,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 04,ชุมชนจำลอง 10,10/05/2569,01/06/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 07,MOCK-0131,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0131,ประเภทจำลอง 03 - ถนน,เขตจำลอง 05,ชุมชนจำลอง 03,11/05/2569,09/06/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 02,MOCK-0132,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0132,ประเภทจำลอง 04 - พื้นที่สาธารณะ,เขตจำลอง 06,ชุมชนจำลอง 08,12/05/2569,17/06/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 05,MOCK-0133,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0133,ประเภทจำลอง 05 - อาคาร,เขตจำลอง 01,ชุมชนจำลอง 01,13/05/2569,25/06/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 08,MOCK-0134,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0134,ประเภทจำลอง 06 - ความสะอาด,เขตจำลอง 02,ชุมชนจำลอง 06,14/05/2569,03/07/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 03,MOCK-0135,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0135,ประเภทจำลอง 07 - ป้าย,เขตจำลอง 03,ชุมชนจำลอง 11,15/05/2569,20/05/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 06,MOCK-0136,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0136,ประเภทจำลอง 08 - อื่นๆ,เขตจำลอง 04,ชุมชนจำลอง 04,16/05/2569,28/05/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 01,MOCK-0137,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0137,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 05,ชุมชนจำลอง 09,17/05/2569,05/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 04,MOCK-0138,รายการจำลองข้อมูลทั่วไป ลำดับ 0138,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 06,ชุมชนจำลอง 02,18/05/2569,13/06/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 07,MOCK-0139,รายการจำลองข้อมูลทั่วไป ลำดับ 0139,ประเภทจำลอง 03 - ถนน,เขตจำลอง 01,ชุมชนจำลอง 07,19/05/2569,21/06/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 02,MOCK-0140,รายการจำลองข้อมูลทั่วไป ลำดับ 0140,ประเภทจำลอง 04 - พื้นที่สาธารณะ,เขตจำลอง 02,ชุมชนจำลอง 12,20/05/2569,29/06/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 05,MOCK-0141,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0141,ประเภทจำลอง 05 - อาคาร,เขตจำลอง 03,ชุมชนจำลอง 05,21/05/2569,07/07/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 08,MOCK-0142,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0142,ประเภทจำลอง 06 - ความสะอาด,เขตจำลอง 04,ชุมชนจำลอง 10,22/05/2569,15/07/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 03,MOCK-0143,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0143,ประเภทจำลอง 07 - ป้าย,เขตจำลอง 05,ชุมชนจำลอง 03,23/05/2569,01/06/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 06,MOCK-0144,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0144,ประเภทจำลอง 08 - อื่นๆ,เขตจำลอง 06,ชุมชนจำลอง 08,24/05/2569,09/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 01,MOCK-0145,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0145,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 01,ชุมชนจำลอง 01,25/05/2569,17/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 04,MOCK-0146,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0146,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 02,ชุมชนจำลอง 06,26/05/2569,25/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 07,MOCK-0147,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0147,ประเภทจำลอง 03 - ถนน,เขตจำลอง 03,ชุมชนจำลอง 11,27/05/2569,03/07/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 02,MOCK-0148,รายการจำลองข้อมูลทั่วไป ลำดับ 0148,ประเภทจำลอง 04 - พื้นที่สาธารณะ,เขตจำลอง 04,ชุมชนจำลอง 04,28/05/2569,11/07/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 05,MOCK-0149,รายการจำลองข้อมูลทั่วไป ลำดับ 0149,ประเภทจำลอง 05 - อาคาร,เขตจำลอง 05,ชุมชนจำลอง 09,29/05/2569,19/07/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 08,MOCK-0150,รายการจำลองข้อมูลทั่วไป ลำดับ 0150,ประเภทจำลอง 06 - ความสะอาด,เขตจำลอง 06,ชุมชนจำลอง 02,30/05/2569,05/06/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 03,MOCK-0151,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0151,ประเภทจำลอง 07 - ป้าย,เขตจำลอง 01,ชุมชนจำลอง 07,31/05/2569,13/06/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 06,MOCK-0152,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0152,ประเภทจำลอง 08 - อื่นๆ,เขตจำลอง 02,ชุมชนจำลอง 12,01/06/2569,21/06/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 01,MOCK-0153,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0153,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 03,ชุมชนจำลอง 05,02/06/2569,29/06/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 04,MOCK-0154,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0154,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 04,ชุมชนจำลอง 10,03/06/2569,07/07/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 07,MOCK-0155,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0155,ประเภทจำลอง 03 - ถนน,เขตจำลอง 05,ชุมชนจำลอง 03,04/06/2569,15/07/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 02,MOCK-0156,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0156,ประเภทจำลอง 04 - พื้นที่สาธารณะ,เขตจำลอง 06,ชุมชนจำลอง 08,05/06/2569,23/07/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 05,MOCK-0157,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0157,ประเภทจำลอง 05 - อาคาร,เขตจำลอง 01,ชุมชนจำลอง 01,06/06/2569,09/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 08,MOCK-0158,รายการจำลองข้อมูลทั่วไป ลำดับ 0158,ประเภทจำลอง 06 - ความสะอาด,เขตจำลอง 02,ชุมชนจำลอง 06,07/06/2569,17/06/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 03,MOCK-0159,รายการจำลองข้อมูลทั่วไป ลำดับ 0159,ประเภทจำลอง 07 - ป้าย,เขตจำลอง 03,ชุมชนจำลอง 11,08/06/2569,25/06/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 06,MOCK-0160,รายการจำลองข้อมูลทั่วไป ลำดับ 0160,ประเภทจำลอง 08 - อื่นๆ,เขตจำลอง 04,ชุมชนจำลอง 04,09/06/2569,03/07/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 01,MOCK-0161,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0161,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 05,ชุมชนจำลอง 09,10/06/2569,11/07/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 04,MOCK-0162,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0162,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 06,ชุมชนจำลอง 02,11/06/2569,19/07/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 07,MOCK-0163,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0163,ประเภทจำลอง 03 - ถนน,เขตจำลอง 01,ชุมชนจำลอง 07,12/06/2569,27/07/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 02,MOCK-0164,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0164,ประเภทจำลอง 04 - พื้นที่สาธารณะ,เขตจำลอง 02,ชุมชนจำลอง 12,13/06/2569,04/08/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 05,MOCK-0165,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0165,ประเภทจำลอง 05 - อาคาร,เขตจำลอง 03,ชุมชนจำลอง 05,14/06/2569,21/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 08,MOCK-0166,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0166,ประเภทจำลอง 06 - ความสะอาด,เขตจำลอง 04,ชุมชนจำลอง 10,15/06/2569,29/06/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 03,MOCK-0167,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0167,ประเภทจำลอง 07 - ป้าย,เขตจำลอง 05,ชุมชนจำลอง 03,16/06/2569,07/07/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 06,MOCK-0168,รายการจำลองข้อมูลทั่วไป ลำดับ 0168,ประเภทจำลอง 08 - อื่นๆ,เขตจำลอง 06,ชุมชนจำลอง 08,17/06/2569,15/07/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 01,MOCK-0169,รายการจำลองข้อมูลทั่วไป ลำดับ 0169,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 01,ชุมชนจำลอง 01,18/06/2569,23/07/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 04,MOCK-0170,รายการจำลองข้อมูลทั่วไป ลำดับ 0170,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 02,ชุมชนจำลอง 06,19/06/2569,31/07/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 07,MOCK-0171,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0171,ประเภทจำลอง 03 - ถนน,เขตจำลอง 03,ชุมชนจำลอง 11,20/06/2569,08/08/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 02,MOCK-0172,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0172,ประเภทจำลอง 04 - พื้นที่สาธารณะ,เขตจำลอง 04,ชุมชนจำลอง 04,21/06/2569,25/06/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 05,MOCK-0173,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0173,ประเภทจำลอง 05 - อาคาร,เขตจำลอง 05,ชุมชนจำลอง 09,22/06/2569,03/07/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 08,MOCK-0174,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0174,ประเภทจำลอง 06 - ความสะอาด,เขตจำลอง 06,ชุมชนจำลอง 02,23/06/2569,11/07/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 03,MOCK-0175,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0175,ประเภทจำลอง 07 - ป้าย,เขตจำลอง 01,ชุมชนจำลอง 07,24/06/2569,19/07/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 06,MOCK-0176,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0176,ประเภทจำลอง 08 - อื่นๆ,เขตจำลอง 02,ชุมชนจำลอง 12,25/06/2569,27/07/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 01,MOCK-0177,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0177,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 03,ชุมชนจำลอง 05,26/06/2569,04/08/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 04,MOCK-0178,รายการจำลองข้อมูลทั่วไป ลำดับ 0178,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 04,ชุมชนจำลอง 10,27/06/2569,12/08/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 07,MOCK-0179,รายการจำลองข้อมูลทั่วไป ลำดับ 0179,ประเภทจำลอง 03 - ถนน,เขตจำลอง 05,ชุมชนจำลอง 03,28/06/2569,20/08/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 02,MOCK-0180,รายการจำลองข้อมูลทั่วไป ลำดับ 0180,ประเภทจำลอง 04 - พื้นที่สาธารณะ,เขตจำลอง 06,ชุมชนจำลอง 08,29/06/2569,07/07/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 05,MOCK-0181,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0181,ประเภทจำลอง 05 - อาคาร,เขตจำลอง 01,ชุมชนจำลอง 01,30/06/2569,15/07/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 08,MOCK-0182,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0182,ประเภทจำลอง 06 - ความสะอาด,เขตจำลอง 02,ชุมชนจำลอง 06,01/07/2569,23/07/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 03,MOCK-0183,รายการจำลองเร่งด่วนไฟดับ ลำดับ 0183,ประเภทจำลอง 07 - ป้าย,เขตจำลอง 03,ชุมชนจำลอง 11,02/07/2569,31/07/2569,ประเมินผลเสร็จสิ้น,,สูง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 06,MOCK-0184,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0184,ประเภทจำลอง 08 - อื่นๆ,เขตจำลอง 04,ชุมชนจำลอง 04,03/07/2569,08/08/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 01,MOCK-0185,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0185,ประเภทจำลอง 01 - ไฟฟ้า,เขตจำลอง 05,ชุมชนจำลอง 09,04/07/2569,16/08/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 04,MOCK-0186,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0186,ประเภทจำลอง 02 - ระบายน้ำ,เขตจำลอง 06,ชุมชนจำลอง 02,05/07/2569,24/08/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 03,
ส่วนงานจำลอง 01,ฝ่ายจำลอง 07,MOCK-0187,รายการจำลองซ่อมแซมทั่วไป ลำดับ 0187,ประเภทจำลอง 03 - ถนน,เขตจำลอง 01,ชุมชนจำลอง 07,06/07/2569,11/07/2569,ประเมินผลเสร็จสิ้น,,กลาง,,เจ้าหน้าที่จำลอง 01,
ส่วนงานจำลอง 02,ฝ่ายจำลอง 02,MOCK-0188,รายการจำลองข้อมูลทั่วไป ลำดับ 0188,ประเภทจำลอง 04 - พื้นที่สาธารณะ,เขตจำลอง 02,ชุมชนจำลอง 12,07/07/2569,19/07/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 02,
ส่วนงานจำลอง 03,ฝ่ายจำลอง 05,MOCK-0189,รายการจำลองข้อมูลทั่วไป ลำดับ 0189,ประเภทจำลอง 05 - อาคาร,เขตจำลอง 03,ชุมชนจำลอง 05,08/07/2569,27/07/2569,ประเมินผลเสร็จสิ้น,,ต่ำ,,เจ้าหน้าที่จำลอง 03,
